# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/package-info.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/CompoundEnumeratedReferenceRendering.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedOrdinalRenderer.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceBase.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceBlock.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceExtension.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceLink.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceRendering.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceRepository.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceText.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
flexmark	flexmark-ext-enumerated-reference/src/main/java/com/vladsch/flexmark/ext/enumerated/reference/EnumeratedReferenceVisitor.java		ported	ssg-md	2026-04-01	Deferred, now ported		2026-03-30
